"Document Title","Added","Issue"
"Observing the Pulse of a City: A Smart City Framework for Real-time Discovery, Federation, and Aggregation of Data Streams","2019","An increasing number of cities are confronted with challenges resulting from the rapid urbanisation and new demands that a rapidly growing digital economy imposes on current applications and information systems. Smart city applications enable city authorities to monitor, manage and provide plans for public resources and infrastructures in city environments, while offering citizens and businesses to develop and use intelligent services in cities. However, providing such smart city applications gives rise to several issues such as semantic heterogeneity and trustworthiness of data sources, and extracting up-to-date information in real time from large-scale dynamic data streams. In order to address these issues, we propose a novel framework with an efficient semantic data processing pipeline, allowing for real-time observation of the pulse of a city. The proposed framework enables efficient semantic integration of data streams and complex event processing on top of real-time data aggregation and quality analysis in a Semantic Web environment. To evaluate our system, we use real-time sensor observations that have been published via an open platform called Open Data Aarhus by the City of Aarhus. We examine the framework utilising Symbolic Aggregate Approximation to reduce the size of data streams, and perform quality analysis taking into account both single and multiple data streams. We also investigate the optimisation of the semantic data discovery and integration based on the proposed stream quality analysis and data aggregation techniques."
"Real-time middleware for cyber-physical event processing","2017","Cyber-physical applications are subject to temporal validity constraints, which must be enforced in addition to traditional QoS requirements such as bounded latency. For many such systems (e.g., automotive and edge computing in the Industrial Internet of Things) it is desirable to enforce such constraints within a common middleware service (e.g., during event processing). In this paper, we introduce CPEP, a new real-time middleware for cyber-physical event processing, with (1) extensible support for complex data processing operations, (2) execution prioritization and sharing, (3) enforcement of absolute time consistency with load shedding, and (4) efficient memory management and concurrent data processing. We present the design, implementation, and empirical evaluation of CPEP and show that it can (1) support complex operations needed by many applications, (2) schedule data processing according to consumers' QoS requirements, (3) enforce temporal validity, and (4) reduce processing delay and improve throughput of temporally valid events."
"From Heterogeneous Sensor Networks to Integrated Software Services: Design and Implementation of a Semantic Architecture for the Internet of Things at ARCES@UNIBO","2018","The Internet of Things (IoTs) is growing fast both in terms of number of devices connected and of complexity of deployments and applications. Several research studies analyzing the economical impact of the IoT worldwide identify the interoperability as one of the main boosting factor for its growth, thanks to the possibility to unlock novel commercial opportunities derived from the integration of heterogeneous systems which are currently not interconnected. However, at present, interoperability constitutes a relevant practical issue on any IoT deployments that is composed of sensor platforms mapped on different wireless technologies, network protocols or data formats. The paper addresses such issue, and investigates how to achieve effective data interoperability and data reuse on complex IoT deployments, where multiple users/applications need to consume sensor data produced by heterogeneous sensor networks. We propose a generic three-tier IoT architecture, which decouples the sensor data producers from the sensor data consumers, thanks to the intermediation of a semantic broker which is in charge of translating the sensor data into a shared ontology, and of providing publish-subscribe facilities to the producers/consumers. Then, we describe the real-world implementation of such architecture devised at the Advanced Research Center on Electronic System (ARCES) of the University of Bologna. The actual system collects the data produced by three different sensor networks, integrates them through a SPARQL Event Processing Architecture (SEPA), and supports two frontend applications for the data access, i.e., a web dashboard and an Amazon Alexa voice service."
"Demo abstract: Monitoring co-movement of smart objects using accelerometer data","2015","In the Internet of Mobile Things (IoMT) applications dealing with mobile objects may benefit from information if two or more objects are in co-movement, i.e. if they are close to each other and sharing the same movement pattern during some interval of time. In this demo we demonstrate how co-movement can be reliably monitored in a mobile middleware component executing on a smartphone using Complex Event Processing over streams of accelerometer data generated by SensorTags interacting with the smartphone through Bluetooth Low Energy."
"Optimal Transmission Policy Derivation for IoNT Flow-guided Nano-sensor Networks","2019","By empowering the IoT with nanoscale communications, thousands of small devices, called nano-nodes, are enabled to monitor complex environments in a nonintrusive way, giving rise to the Internet of Nano-Things (IoNT) paradigm. It is in one of these very complex and critical environments, the human cardiovascular system, where IoNT might stand out. However, the supervision of human health poses significant challenges: firstly, to reduce costs and allow in vivo monitoring nano-sensor networks, the number of deployed nano-routers must be limited, which could cause nano-nodes to undergo long out-of-coverage periods. Lastly, nano-nodes rely on harvested energy from the medium, which severely reduces the number of potential transmissions. To overcome these two problems, smart policies that direct devices on how to proceed with sensed events are crucial. In this line, we propose a generic Markov Decision Process (MDP) model which can be exploited to derive optimal transmission policies that are easily employed by nano-nodes. These policies maximize nano-node throughput and cope with the energy and coverage problems. We have also run a set of simulations to validate our proposal and to compare it to other alternative policies. Results reveal that: (i) our policy systematically outperforms the rest of policies by a large margin; (ii) precision in placing nano-routers and average distance between them strongly affect the nano-network performance. The Python code for the MDP model and simulations has been programmed to be easily adaptable to researchers’ needs, making it easier for future IoNT works to add intelligence to the network."
"What Is the Internet of Things: An Introduction","2017","This module provides an overview of the Internet of Things technology. The emergence of the paradigm is explored and a range of application areas and challenges are discussed.  In particular, we explain the broader implications of networked small devices, and the types of services they can provide. Some implications in the area of personal and information security challenges associated with deployment of Internet of Things and broad adoption of Internet connected small devices and sensor networks are also explored."
"Intelligent Checkpointing Strategies for IoT System Management","2017","The Internet of Things (IoT) continues to expand in terms of the number of connected devices. To handle the data produced by those devices, gateways are deployed to collect data, possibly to analyze it, and finally to send it to the cloud or to the end-user to support new services. This process involves complex software that is deployed on those gateways. Moreover, the dynamicity due to new services, mobility, etc., could be corrupted by new events that then require the deployment of software components on additional equipment. Those new events arise in at least two fundamental ways: devices that may change their geographical location; and limitations due to hardware resources and energy consumption. We propose to use autonomic monitoring and control in response to a changing environment in order to manage deployed software with little or no human intervention. A new generic approach is described, based on a semantic model of the system being monitored. Much of the power of the proposed approach is accomplished through a novel use of checkpointing in order to control the software deployed on the gateway."
"Predictable Low-Latency Event Detection With Parallel Complex Event Processing","2015","The tremendous number of sensors and smart objects being deployed in the Internet of Things (IoT) pose the potential for IT systems to detect and react to live-situations. For using this hidden potential, complex event processing (CEP) systems offer means to efficiently detect event patterns (complex events) in the sensor streams and therefore, help in realizing a “distributed intelligence” in the IoT. With the increasing number of data sources and the increasing volume at which data is produced, parallelization of event detection is crucial to limit the time events need to be buffered before they actually can be processed. In this paper, we propose a pattern-sensitive partitioning model for data streams that is capable of achieving a high degree of parallelism in detecting event patterns, which formerly could only consistently be detected in a sequential manner or at a low parallelization degree. Moreover, we propose methods to dynamically adapt the parallelization degree to limit the buffering imposed on event detection in the presence of dynamic changes to the workload. Extensive evaluations of the system behavior show that the proposed partitioning model allows for a high degree of parallelism and that the proposed adaptation methods are able to meet a buffering limit for event detection under high and dynamic workloads."
"A Big Data Processing Framework for Self-Healing Internet of Things Applications","2016","In this study, we introduce a big data processing framework that provides self-healing capability in the Internet of Things domain. We discuss the high-level architecture of this framework and its prototype implementation. To identify faulty conditions, we utilize a complex-event processing technique by applying a rule-based pattern-detection algorithm on the events generated real-time. For events, we use a descriptor metadata of the measurements (such as CPU usage, memory usage, bandwidth usage) taken from Internet of Things devices. To understand the usability and effectiveness of the proposed architecture, we test the prototype implementation for performance and scalability under increasing incoming message rates. The results are promising, because its processing overhead is negligible."
"Online Decision-Making Using Edge Resources for Content-Driven Stream Processing","2017","The Internet of Things (IoT) describes the emerging paradigm that connects sensors, often located at the edge of the network, to stream processing engines located at the core of the network to enable online data-driven monitoring, management, and control. As IoT applications require increasing volumes of streaming data to be processed by complex workflows in a timely manner, it is becoming important to also leverage resources closer to the edge. Furthermore, the topology of these workflows and where theyare executed is determined not only by application objectives and available resources, but also by the content of the data streams, however, current stream processing engines do not provide this flexibility. In this paper, we present a programming framework that enables applications to specify data-driven, location- and resource-aware processing of data streams. Specifically, it provides abstractions for specifying where and how a data stream is processed based on its content, spatial and temporal characteristics. We also present an implementation of the framework using an event-driven runtime, where events are associatively described. Finally, we demonstrate the effectiveness of the solution by an evaluation of scalability and performance using a disaster response application usecase."
"A Microservices Architecture for Reactive and Proactive Fault Tolerance in IoT Systems",,"599"
"Multi-Query Optimization for Complex Event Processing in SAP ESP","2017","SAP Event Stream Processor (ESP) platform aims at delivering real-time stream processing and analytics in many time-critical areas such as Capital Markets, Internet of Things (IoT) and Data Center Intelligence. SAP ESP allows users to realize complex event processing (CEP) in the form of pattern queries. In this paper, we present MOTTO - a multi-query optimizer in SAP ESP in order to improve the performance of many concurrent pattern queries. This is motivated by the observations that many real-world applications usually have concurrent pattern queries working on the same data streams, leading to tremendous sharing opportunities among queries. In MOTTO, we leverage three major sharing techniques, namely merge, decomposition and operator transformation sharing, to reduce redundant computation among pattern queries. In addition, MOTTO supports nested pattern queries as well as pattern queries with different window sizes. The experiments demonstrate the efficiency of the MOTTO with real-world application scenarios and sensitivity studies."
"Towards human mobility extraction based on social media with Complex Event Processing","2015","Social media has enabled a new breed of soft sensors that enriches the IoT paradigm with new forms of data. The present work introduces a novel approach for personal mobility mining that combines these new data-sources with built-in sensors of a smart-phone in order to timely extract personal mobility pattens by means of the Complex Event Processing (CEP) approach. Unlike previous solutions, the present work profits from both the textual and location data of social-network sites by also dealing with the actual scarcity of geo-tagged documents in those sites. Finally, a preliminary study of the feasibility of our proposal is stated."
"A Software Chain Approach to Big Data Stream Processing and Analytics","2015","Big Data Stream processing is among the most important computing trends nowadays. The growing interest on Big Data Stream processing comes from the need of many Internet-based applications that generate huge data streams, whose processing can serve to extract useful analytics and inform for decision making systems. For instance, an IoT-based monitoring systems for a supply-chain, can provide real time data analytics for the business delivery performance. The challenges of processing Big Data Streams reside on coping with real-time processing of an unbounded stream of data, that is, the computing system should be able to compute at high throughput to accommodate the high data stream rate generation in input. Clearly, the higher the data stream rate, the higher should be the throughput to achieve consistency of the processing results (e.g. Preserving the order of events in the data stream). In this paper we show how to map the data stream processing phases (from data generation to final results) to a software chain architecture, which comprises five main components: sensor, extractor, parser, formatter and out putter. We exemplify the approach using the Yahoo!S4 for processing the Big Data Stream from Flight Radar24 global flight monitoring system."
"Situation-Aware IoT Service Coordination Using the Event-Driven SOA Paradigm","2016","Internet of Things (IoT) technology demands a complex, lightweight distributed architecture with numerous diverse components, including end devices and applications adapted for specific contexts. This paper proposes a situation-aware IoT services coordination platform based on the event-driven service-oriented architecture (SOA) paradigm. Focus is placed on the design of an event-driven, service-oriented IoT services coordination platform, for which we present a situational event definition language (SEDL), an automaton-based situational event detection algorithm, and a situational event-driven service coordination behavior model, which is based on an extended event-condition-action trigger mechanism. Moreover, we propose a reliable real-time data distribution model to support the effective dispatching sensory data between information providers and consumers, which is based on the grid quorum mechanism to organize those brokers into a grid overlay network to facilitate the asynchronous communication in a large-scale, distributed, and loosely coupled IoT applications environment. We also illustrate the various illustrations for IoT services coordination and alarming disposal process of coal mine safety monitoring and control automation scenarios, and also report the measurement and analysis of the platform's performance."
"Production process adaptation to IoT triggered manufacturing resource failure events","2017","Usage of raw data as an asset, from which value can be created to support business and manufacturing decision making, motivated a lot of scientists to explore the challenges on how to exploit this value. Such efforts are concentrated on the framework of “data value chain”, where approaches of architectures and applications aim at equipping enterprises with tools that gather, process and extract knowledge from raw data generated by their internal or external processes. In this context, the present paper deals with the way the production processes in a factory can be adapted to changes that are detected by the processing of raw data which are aggregated by IoT devices installed in the manufacturing environment. The proposed approach introduces a complex system that combines a network of IoT sensors and a high-level multi-agent system that contributes to the vertical integration of all the systems residing in the Enterprise/Factory."
"A Coupling System Design Based on the Internet of Things and Intelligent Decision Support System in Industrial Enterprises","2016","Extensive economic development and traditional industrial production processes had caused great waste on human resources and natural energy. In the view of this situation, the paper establishes a coupling information system based on the internet of things and decision support system, expanding the research on the overall framework and design level of the integration system. First, from the macro level, the coupling system is built with the perception layer and decision-making layer as a whole, secondly, starting with complex network theory, the paper makes use of small-world network model to optimize perception layer topology network, finally, as the manufacturing is the core part of perception layer of the industrial enterprises, the technical framework of the active perception of critical events in IOMT based manufacturing process is established, which contributes to providing dynamic monitoring and decision-making to optimize the production process with a new model of support real-time information. Hence, the visual decision knowledge as well as realization of real-time intelligent management can be obtained by the coupling system."
"ESCEP: A CEP based on event sharing in Internet of Things","2017","This paper focuses on the research of complex event in the event of overlapping processing problems, put forward a complex event processing engine ESCEP based on event sharing, and the event model is improved. An event linear sequence hash algorithm is used to decompose complex events into several intermediate events, the new event query model is generated according to the event sharing cost algorithm and the event distribution strategy is formulated through the event communication cost algorithm. The prototype system test shows that, the engine is superior to existing engines under the condition of event overlap rate increasing."
"Skipping Unused Events to Speed Up Rollback-Recovery in Distributed Data-Parallel CEP","2018","We propose two extensions for a state-of-the-art method of rollback-recovery in distributed CEP (complex event processing). In CEP, an operator network is used to search for patterns in events streams. Sometimes these operators fail and lose their state. Rollback-recovery is a method for dealing with such state losses. The type of rollback-recovery we consider is upstream backup, where the state of a failed operator is recovered by replaying to it the input events that led it to that state. These events are kept in upstream operators' memory buffers, which are trimmed continuously as the downstream operator progresses. The first extension we propose saves memory and speeds up recovery by avoiding to store and retransmit unnecessary events. The second extension makes the base method of upstream backup compatible with data-parallel CEP, allowing that the windows into which operators partition their input be processed in parallel. We evaluated the proposed extensions through experiments that showed a significant reduction in memory usage and recovery time at the expense of a negligible processing overhead during normal operation."
"The Internet of Things Enabled Shop Floor Scheduling and Process Control Method Based on Petri Nets","2019","Shop floor scheduling requires consideration of the dynamic, time-varying, and unpredictable natures of the manufacturing environment. A shop floor scheduling/rescheduling method based on Petri net and ant colony optimization (PN-ACO) is proposed given an abnormal event represented by machine breakdown. Because of the difficulty to schedule in the complex and changeable internal and external environment of the shop floor, an Internet-of-Things (IoT)-enabled process control method is proposed, using sensors, RFID, industrial wireless communication, automatic identification, and other technologies to perceive the shop floor field. The value of the mean relative error is 1.77, which illustrates the feasibility and efficiency of the proposed PN-ACO algorithm to solve flexible job shop scheduling problems. To represent operation sequencing information, a schedule timed transition Petri net (TTPN) is proposed which is evolved from the TTPN. On the basis of the mapping mechanism between the Petri net model and the XML, manufacturing resources become autonomous and interactive distributed intelligent manufacturing resources. The experimental results confirm that the proposed method is effective for scheduling and process control of the IoT-enabled shop floor."
"Secure and efficient communication in cyber-physical systems through cryptography and complex event processing","2016","The way we view and use technology has changed dramatically over the past decade. We now have smart devices, BigData, cyber-physical systems, internet-of-things and much more. Because technology is so present in the way we communicate and in our day-to-day activities, the need for strong and efficient security systems is extremely poignant. Cyber-physical systems integrate various components and can interact with their surrounding. Their usage in critical applications requires a robust security architecture. While methods like cryptography or steganography can cover aspects such as protecting data and communications, in order to ensure efficiency and the smart usage of resources we need a different approach. Throughout this paper we will describe a method that uses a hierarchical cryptosystem to protect communications within a cyber-physical system combined with complex event processing to optimize the security architecture."
"Towards a context-driven platform using IoT and big data technologies for energy efficient buildings","2017","Context-awareness is crucial for leveraging energy-efficient buildings by developing intelligent control approaches in which sensing and actuation tasks are performed according to the contextual changes. This could be done by including the users' actions and behaviours in up-to-date context taking into account the complex interlinked elements, situations, processes, and their dynamics. In this paper, we introduce a holistic platform that integrates recent sensing/actuating and Big data technologies for monitoring and data processing. The main aim is to develop context-driven control approaches whereby energy consumption, production, and storage could be controlled according to actual situations (e.g., occupancy, occupant behaviour patterns, energy production patterns, and weather data). A platform prototype was deployed in our university test site. Experiments have been conducted and preliminary results show the usefulness of this holistic platform for monitoring and data processing in energy efficient buildings."
"Opportunistic smart object aggregation based on clustering and event processing","2016","In the envisioned Internet of Things ecosystems, Smart objects are intended to create groups of devices in order to provide higher level services to be leveraged by citizens. However, because of the dynamic nature of such scenarios, the discovery, management and operation of such dynamic coalitions taking into account security and privacy concerns, is a challenging task that has not been properly addressed yet. In this sense, the present proposal devises a novel approach to automatically compose opportunistic aggregations of objects (bubbles) based on Complex Event Processing (CEP) and fuzzy clustering. While the former detects certain events that could give raise to discover new bubbles, the latter allows compose aggrupations of similar objects acting as candidate bubbles. Finally, the application of the proposal in an educational domain is put forward."
"Building an IoT Framework for Connected Dairy","2015","Heat stress (HS) causes cows to produce less milk with the same nutritional input, which effectively increases farmers' production costs. The economic toll due to higher-temperature, heat stress is a $1 billion annual problems. Not only in the United States, but also around the globe heat stress causes an adverse impact on dairy productivity. The opportunities, however, for the dairy industry is to electronically monitor cattle temperature and implement appropriate measures so that the impact of HS can be minimized. The U.S. Department of Agriculture estimates nearly $2.4 billion a year in losses from animal illnesses that lead to death can be prevented by electronically checking on cattle's' vital signs. This research paper recommends the most innovative electronic monitor framework, the 'Smart Connected Objects"", aka, 'the Internet of Things (IoT)', that enables dairies to minimize the economic impact of HS and, at the same, capture the higher Return on Assets (ROA) &amp; Return on Investment (ROI) by improving operational efficiencies. Happy Cow, more importantly, means happier, more profitable, dairy industry and richer and creamer dairy products. The proposed framework supports both offline and online dairy IoT. This paper presents a prototyping solution design as well as its application and certain experimental results."
"A Case Study for Workflow-Based Automation in the Internet of Things","2018","The application of workflow technologies in the context of Internet of Things (IoT) presents a young and vibrant research field. Introducing a dedicated workflow layer on top of typical software architectures to model and execute repetitive tasks among IoT devices, systems and services facilitates the flexibility, reuse, configuration and programming of processes in the IoT. In this work we present the PROtEUS IoT workflow management system (WfMS) and its application for automating typical processes in a Smart Home case study.We conduct various experiments to show the systemâ€™s capabilities and suitability to be used as an IoT WfMS interacting with sensors, actuators, robots, humans and smart objects. PROtEUS integrates components for dynamic service selection, complex event processing, human interactions and self-adaptation, which makes it a WfMS able to cope with new IoT-related challenges."
"Real-Time Manufacturing Machine and System Performance Monitoring Using Internet of Things","2018","This paper introduces a framework to assess the performance of manufacturing systems using hybrid simulation in real time. Continuous and discrete variables of different machines are monitored to analyze performance using a virtual environment running synchronous to plant floor equipment as a reference. Data are extracted from machines using industrial Internet of Things solutions. Productivity and reliability of a physical system are compared in real time with data from a hybrid simulation. The simulation uses discrete-event systems to estimate performance metrics at a system level, and continuous dynamics at a machine level to monitor input and output variables. Simulation outputs are used as a reference to detect abnormal conditions based on deviations of real outputs in different stages of the process. This monitoring method is implemented in a fully automated manufacturing system testbed with robots and CNC machines. Machines are integrated on an Ethernet/IP control network using a programmable logic controller to coordinate actions and transfer data. Results demonstrated the capacity to perform real-time monitoring and capture performance errors within confidence intervals. Note to Practitioners-Estimating expected performance of a manufacturing system processing different parts across multiple machines is a complex problem due to the lack of closed-form equations. Existing solutions focus on monitoring stochastic variables such as production or failure rate, or machine dynamics in separate environments often running asynchronous to the real system. This paper addresses the problem of monitoring and assessing the performance of complex manufacturing systems in real time. The proposed framework uses a real-time hybrid simulation of manufacturing at a machine and system level. The hybrid approach is based on a discrete and continuous model of manufacturing equipment integrated to run synchronously with the real plant floor operation. Data from both the virtual and real environments are merged to assess performance. Deviations from expected values represent an error that can trigger a warning signal to production, maintenance, and/or manufacturing personnel at the plant regarding health and productivity of plant operations."
"A supervisory control loop with Prognostics for human-in-the-loop decision support and control applications","2017","This paper presents a novel tandem human-machine cognition approach for human-in-the-loop control of complex business-critical and mission-critical systems and processes that are monitored by Internet-of-Things (IoT) sensor networks and where it is of utmost importance to mitigate and avoid cognitive overload situations for the human operators. The approach is based on a decision making supervisory loop for situation awareness and control combined with a machine learning technique that is especially well suited to this control problem. The goal is to achieve a number of functional requirements: (1) ultra-low false alarm probabilities for all monitored transducers, components, machines, systems, and processes; (2) fastest mathematically possible decisions regarding the incipience or onset of anomalies in noisy process metrics; and (3) the ability to unambiguously differentiate between sensor degradation events and degradation in the systems/processes under surveillance. The novel approach that is presented here does not replace the role of the human in operation of complex engineering systems and processes, but rather augments that role in a manner that minimizes cognitive overload by very rapidly processing, interpreting, and displaying final diagnostic and prognostic information to the human operator in a prioritized format that is readily perceived and comprehended."
"Dynamically Scalable Distributed Virtual Framework Based on Agents and Pub/Sub Pattern for IoT Media Data","2019","The Internet of Things (IoT) continues to expand; as daily new smart-devices are connected to Internet and adding to a deluge of data created by our society. Compounding the challenges is that this data is very heterogeneous, including device or human activity trace data, structured data, sensor information, and media data. The computing needs for the IoT continue to rise in terms of scalable compute power, storage, and complex data processing pipelines to accommodate these diverse sources of data. For this reason, it becomes essential to develop a flexible framework that is able to efficiently manage the IoT data in a real-time and scalable approach. In this paper, we propose a novel framework to handle IoT data. Our framework is dynamically extensible, lightweight, resources efficient, and has the ability to handle stream data as well as batch data. We leverage autonomous agents along with the publish-subscribe pattern to achieve a run-time extensible, event-driven, and high-performance computational architecture. Additionally, we have incorporated localized and centralized databases into the framework to support structured and unstructured data for compute processing and analytical tasks. We have implemented the proposed framework and evaluated its performance using a visual object-detection case study on both a local cluster and within cloud-computing infrastructure. Our analysis shows that this framework utilizes the CPU, memory, and network resources efficiently. Additionally, the framework can scale horizontally as adding more processing nodes reduces the time and increases the goodput."
"Archer: An Event-Driven Architecture for Cyber-Physical Systems","2018","A global Internet of Things demands new cloud architectures that can scale to support all kind of loosely coupled data and events producers and consumers. Moreover, these architectures need to be capable of offering low-latency delivery, which must not only feed real-time analytics applications, but also produce real-time actionable data that could enable operational business logic and automation triggers activation and transform microservices into cyber-physical microapplications. The design principles to build distributed event-driven applications are known to be complex and hard to handle at the application code level. As a result, there are several already well-known patterns that aim to provide a convenient solution and abstract the business logic development from the underlying architecture complexities. This paper proposes a common framework that addresses all the needs of an in-production application, that are hard to solve under the event-driven paradigm. It gathers existing patterns and combines them and extends them. These patterns are implemented and comprised in a middleware library which has been tested on a proof-of-concept architecture implementation, based on Apache Kafka."
"Event model to facilitate data sharing among services: Closing the gap between research and implementation","2016","Development of smart city services is presently hindered because the data is too heterogeneous, despite the increasing availability of data in open data initiatives. We determined metadata fields and semantics for our proposed model after a survey of other event models, and after its trial implementation in actual applications. Our event metadata model is unique among event models in being extensible as needed. We illustrate our model by showing it with different data types, and we validate it using real-world data in a prototype smart cities service for pedestrian safety. Wide adoption of our event metadata model has the potential to broaden the number and scope of smart city services."
